index,city,state,zip_code
376,Pawtucket,Rhode Island,2860
377,Providence,Rhode Island,2909
378,Burrillville,Rhode Island,2830
379,Providence,Rhode Island,2906
380,Providence,Rhode Island,2908
381,Burrillville,Rhode Island,2830
382,Pawtucket,Rhode Island,2860
383,Providence,Rhode Island,2909
384,Burrillville,Rhode Island,2830
385,Providence,Rhode Island,2906
386,Providence,Rhode Island,2908
387,Pawtucket,Rhode Island,2860
388,Pawtucket,Rhode Island,2860
389,Providence,Rhode Island,2909
390,Providence,Rhode Island,2906
391,Providence,Rhode Island,2908
392,Providence,Rhode Island,2909
393,Providence,Rhode Island,2906
394,Providence,Rhode Island,2908
395,Pawtucket,Rhode Island,2860
396,Providence,Rhode Island,2908
397,Pawtucket,Rhode Island,2860
398,Providence,Rhode Island,2909
399,Burrillville,Rhode Island,2830
400,Providence,Rhode Island,2906
401,Providence,Rhode Island,2908
402,Burrillville,Rhode Island,2830
403,Pawtucket,Rhode Island,2860
404,Providence,Rhode Island,2909
405,Burrillville,Rhode Island,2830
406,Providence,Rhode Island,2906
407,Providence,Rhode Island,2908
408,Providence,Rhode Island,2906
409,Providence,Rhode Island,2908
410,East Providence,Rhode Island,2915
411,Pawtucket,Rhode Island,2860
412,Providence,Rhode Island,2908
413,Providence,Rhode Island,2909
414,Providence,Rhode Island,2906
415,Providence,Rhode Island,2908
416,Providence,Rhode Island,2909
417,Providence,Rhode Island,2908
418,Burrillville,Rhode Island,2830
419,Burrillville,Rhode Island,2830
420,Woonsocket,Rhode Island,2895
421,Woonsocket,Rhode Island,2895
422,Woonsocket,Rhode Island,2895
423,Woonsocket,Rhode Island,2895
424,Woonsocket,Rhode Island,2895
425,Woonsocket,Rhode Island,2895
426,Woonsocket,Rhode Island,2895
427,Woonsocket,Rhode Island,2895
428,Providence,Rhode Island,2909
429,Providence,Rhode Island,2905
430,Providence,Rhode Island,2909
431,Providence,Rhode Island,2907
432,Johnston,Rhode Island,2919
433,Pawtucket,Rhode Island,2861
434,Providence,Rhode Island,2909
435,Providence,Rhode Island,2909
436,Pawtucket,Rhode Island,2860
437,Providence,Rhode Island,2909
438,Central Falls,Rhode Island,2863
439,Providence,Rhode Island,2908
440,Providence,Rhode Island,2907
441,Woonsocket,Rhode Island,2895
442,Central Falls,Rhode Island,2863
443,Providence,Rhode Island,2905
444,Warwick,Rhode Island,2889
445,Woonsocket,Rhode Island,2895
446,Providence,Rhode Island,2909
447,Woonsocket,Rhode Island,2895
448,North Providence,Rhode Island,2904
449,Providence,Rhode Island,2905
450,Lincoln,Rhode Island,2865
451,Warren,Rhode Island,2885
452,Warren,Rhode Island,2885
453,Cranston,Rhode Island,2920
454,Woonsocket,Rhode Island,2895
455,Pawtucket,Rhode Island,2861
456,Pawtucket,Rhode Island,2860
457,Central Falls,Rhode Island,2863
458,Pawtucket,Rhode Island,2860
459,Woonsocket,Rhode Island,2895
460,Woonsocket,Rhode Island,2895
461,Woonsocket,Rhode Island,2895
462,Lincoln,Rhode Island,2865
463,Central Falls,Rhode Island,2863
464,Pawtucket,Rhode Island,2861
