index,bed,bath,acre_lot,zip_code,house_size,price
12111,3,3,0.42,2904,2300,629900
12112,3,3,0.09,2914,1705,349000
12113,3,3,0.08,2908,1328,350000
12114,3,3,0.77,2921,2106,550000
12115,3,3,0.31,2920,1900,569900
12116,3,3,0.46,2865,2020,529900
12117,3,3,0.19,2920,1850,499900
12118,3,3,0.14,2895,1808,249900
12119,3,3,0.11,2910,2036,419900
12120,3,3,0.1,2914,1352,324900
12121,3,3,0.28,2904,2184,600000
12122,3,3,0.15,2920,1600,499000
12123,3,3,0.53,2830,1642,399000
12124,3,3,0.21,2895,3419,399000
12125,3,3,0.1,2907,1273,250000
12126,3,3,0.34,2919,1276,475000
12127,3,3,0.13,2904,2952,895000
12128,3,3,0.1,2864,1848,499900
12129,3,3,13.21,2878,2546,659900
12130,3,3,5.21,2837,3170,825000
12131,3,3,1.39,2878,2344,599900
12132,3,3,0.63,2871,2913,1049000
12133,3,3,0.48,2921,3056,699900
12134,3,3,0.11,2818,2472,699900
12135,3,3,1.22,2889,1709,550000
12136,3,3,0.06,2816,2128,184900
12137,3,3,2.04,2816,1369,499900
12138,3,3,0.7,2816,2380,599000
12139,3,3,5.81,2816,1926,649900
12140,3,3,0.5,2816,1872,399000
12141,3,3,1.97,2816,1800,599000
12142,3,3,4.38,2817,2250,600000
12143,3,3,1.02,2817,2058,489900
12144,3,3,0.55,2817,2444,599000
12145,3,3,2.13,2817,2120,779900
12146,3,3,2,2817,2534,679000
12147,3,3,2,2817,2534,749900
12148,3,3,0.11,2818,2472,699900
12149,3,3,0.69,2818,2655,675000
12150,3,3,,2818,2558,649900
12151,3,3,,2818,1529,475000
12152,3,3,5.54,2818,3500,1050000
12153,3,3,4.2,2825,1266,399000
12154,3,3,6.29,2825,2320,649000
12155,3,3,0.3,2828,2776,499000
12156,3,3,0.53,2830,1642,399000
12157,3,3,2,2830,1500,449900
12158,3,3,0.48,2921,3056,699900
12159,3,3,0.36,2914,959,259900
12160,3,3,0.07,2905,1331,319900
12161,3,3,1.22,2889,1709,550000
12162,3,3,0.29,2832,1672,339000
12163,3,3,1.84,2832,2048,479900
12164,3,3,1.65,2832,2128,499900
12165,3,3,4.16,2832,1357,529900
12166,3,3,1.7,2873,1932,549900
12167,3,3,1.1,2836,1824,499900
12168,3,3,0.58,2879,4302,840000
12169,3,3,0.74,2879,2212,989900
12170,3,3,,2898,1530,329900
12171,3,3,0.76,2891,2164,3495000
12172,3,3,2.76,2892,2176,1750000
12173,3,3,5.21,2837,3170,825000
12174,3,3,0.07,2905,1331,319900
12175,3,3,0.36,2914,959,259900
12176,3,3,0.48,2921,3056,699900
12177,3,3,0.23,2816,1686,469900
12178,3,3,2.14,2816,1904,499900
12179,3,3,0.46,2816,2063,584900
12180,3,3,0.19,2818,1540,469000
12181,3,3,0.1,2818,1326,749500
12182,3,3,0.04,2818,2824,524900
12183,3,3,1,2818,2584,794900
