index,acre_lot,house_size,price
374,2.9,5700,469900
375,0.09,3796,333000
376,0.11,2700,410000
377,0.07,5411,448000
378,2.9,5700,469900
379,0.1,9318,2600000
380,0.07,4137,399000
381,2.9,5700,469900
382,0.09,3796,333000
383,0.07,5411,448000
384,2.9,5700,469900
385,0.1,9318,2600000
386,0.07,4137,399000
387,0.09,3796,333000
388,0.11,2700,410000
389,0.07,5411,448000
390,0.1,9318,2600000
391,0.07,4137,399000
392,0.07,5411,448000
393,0.1,9318,2600000
394,0.07,4137,399000
395,0.09,3796,333000
396,0.08,5616,419900
397,0.11,2700,410000
398,0.07,5411,448000
399,2.9,5700,469900
400,0.1,9318,2600000
401,0.07,4137,399000
402,2.9,5700,469900
403,0.09,3796,333000
404,0.07,5411,448000
405,2.9,5700,469900
406,0.1,9318,2600000
407,0.07,4137,399000
408,0.1,9318,2600000
409,0.07,4137,399000
410,0.62,3915,895000
411,0.09,3796,333000
412,0.08,5616,419900
413,0.07,5411,448000
414,0.1,9318,2600000
415,0.07,4137,399000
416,0.07,5411,448000
417,0.08,5616,419900
418,2.9,5700,469900
419,2.9,5700,469900
420,0.37,6310,449999
421,0.11,3503,299900
422,0.11,5936,449000
423,0.18,7468,650000
424,0.37,6310,449999
425,0.11,3503,299900
426,0.11,5936,449000
427,0.18,7468,650000
428,0.1,5557,599000
429,0.09,4356,329900
430,0.08,4500,365000
431,0.17,5448,549900
432,0.09,5977,269000
433,0.09,4513,425000
434,0.1,4235,499900
435,0.08,5421,319900
436,0.11,4464,339900
437,0.11,4637,399000
438,0.09,6097,475000
439,0.13,6033,479900
440,0.1,4454,339900
441,0.37,6310,449999
442,0.06,5060,480000
443,0.11,6734,415000
444,0.29,4392,489000
445,0.11,3503,299900
446,0.09,3600,499900
447,0.11,5936,449000
448,0.11,4033,489000
449,0.09,5661,540000
450,0.11,4548,539900
451,0.07,3012,575000
452,0.07,3012,575000
453,0.19,2822,525000
454,0.18,7468,650000
455,0.09,4513,425000
456,0.11,4464,339900
457,0.09,6097,475000
458,0.09,3573,457000
459,0.11,3503,299900
460,0.11,5936,449000
461,0.18,7468,650000
462,0.11,4548,539900
463,0.05,2706,374900
464,0.09,4513,425000
465,0.11,4464,339900
466,0.09,6097,475000
467,0.09,3573,457000
468,0.11,3503,299900
469,0.11,5936,449000
470,0.18,7468,650000
471,0.11,4548,539900
472,0.37,6310,449999
473,0.11,5936,449000
474,0.18,7468,650000
475,0.09,4513,425000
476,0.11,4464,339900
477,0.09,3573,457000
478,0.09,6097,475000
479,0.37,6310,449999
480,0.11,3503,299900
481,0.11,5936,449000
482,0.11,4033,489000
483,0.18,7468,650000
484,0.11,4548,539900
485,0.37,6310,449999
486,0.11,3503,299900
487,0.11,5936,449000
488,0.18,7468,650000
489,0.37,6310,449999
490,0.11,3503,299900
491,0.11,5936,449000
492,0.11,4548,539900
493,0.18,7468,650000
494,0.07,3012,575000
495,0.07,3012,575000
496,0.05,2706,374900
497,0.1,5557,599000
498,0.09,4356,329900
499,0.08,4500,365000
500,0.17,5448,549900
501,0.09,4513,425000
502,0.1,4235,499900
503,0.08,5421,319900
504,0.11,4464,339900
505,0.11,4637,399000
506,0.09,3573,457000
507,0.09,6097,475000
508,0.13,6033,479900
509,0.1,4454,339900
510,0.06,5060,480000
511,0.11,6734,415000
512,0.29,4392,489000
513,0.09,3600,499900
514,0.11,4033,489000
515,0.07,3012,575000
516,0.07,3012,575000
517,0.09,5661,540000
518,0.11,4548,539900
519,0.29,4392,489000
520,0.05,2706,374900
521,0.1,5557,599000
522,0.09,4356,329900
523,0.08,4500,365000
524,0.17,5448,549900
525,0.09,4513,425000
526,0.1,4235,499900
527,0.08,5421,319900
528,0.11,4464,339900
529,0.11,4637,399000
530,0.09,6097,475000
531,0.09,3573,457000
532,0.13,6033,479900
533,0.1,4454,339900
534,0.06,5060,480000
535,0.11,6734,415000
536,0.29,4392,489000
537,0.09,3600,499900
538,0.09,5661,540000
539,0.11,4548,539900
540,0.1,5557,599000
541,0.05,2706,374900
542,0.09,4356,329900
543,0.08,4500,365000
544,0.17,5448,549900
545,0.09,5977,269000
546,0.09,4513,425000
547,0.1,4235,499900
548,0.08,5421,319900
549,0.11,4464,339900
550,0.11,4637,399000
